timestamp,node,mode,recovery_time_sec,success
2026-05-14 13:03:50,av_receiver,sigterm,0.04,True
2026-05-14 13:04:08,audio_ingestor,freeze,10,False
2026-05-14 13:04:23,video_ingestor,io_stress,10,False
2026-05-14 13:04:37,av_receiver,io_stress,10,False
2026-05-14 13:04:51,audio_ingestor,memory_stress,10,False
2026-05-14 13:04:58,audio_ingestor,sigsegv,0.05,True
2026-05-14 13:05:02,audio_ingestor,sigkill,0.05,True
2026-05-14 13:05:08,video_ingestor,sigsegv,0.04,True
2026-05-14 13:05:18,audio_ingestor,sigterm,0.04,True
2026-05-14 13:05:35,video_ingestor,cpu_stress,10,False
2026-05-14 13:05:49,av_receiver,io_stress,10,False
2026-05-14 13:06:05,video_ingestor,io_stress,10,False
2026-05-14 13:06:19,video_ingestor,io_stress,10,False
2026-05-14 13:06:24,video_ingestor,sigkill,0.04,True
2026-05-14 13:06:45,audio_ingestor,freeze,10,False
2026-05-14 13:06:59,audio_ingestor,memory_stress,10,False
2026-05-14 13:07:18,audio_ingestor,freeze,10,False
2026-05-14 13:07:32,av_receiver,memory_stress,10,False
2026-05-14 13:07:45,av_receiver,io_stress,10,False
2026-05-14 13:07:50,video_ingestor,sigkill,0.04,True
2026-05-14 13:08:07,video_ingestor,io_stress,10,False
2026-05-14 13:08:22,av_receiver,memory_stress,10,False
2026-05-14 13:08:37,av_receiver,memory_stress,10,False
2026-05-14 13:08:42,audio_ingestor,sigterm,0.04,True
2026-05-14 13:08:57,video_ingestor,memory_stress,10,False
2026-05-14 13:09:12,av_receiver,cpu_stress,10,False
2026-05-14 13:09:18,av_receiver,sigterm,0.04,True
2026-05-14 13:09:22,audio_ingestor,sigsegv,0.06,True
2026-05-14 13:09:41,video_ingestor,freeze,10,False
2026-05-14 13:09:46,av_receiver,sigterm,0.04,True
